Back to Contents,Data 1: Crude Oil Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sourcekey,MCRFPUS2,MCRFPP12,MCRFPFL2,MCRFPNY2,MCRFPPA2,MCRFPVA2,MCRFPWV2,MCRFPP22,MCRFPIL2,MCRFPIN2,MCRFPKS2,MCRFPKY2,MCRFP_SMI_2,MCRFPMO2,MCRFPNE2,MCRFPND2,MCRFPOH2,MCRFPOK2,MCRFPSD2,MCRFPTN2,MCRFPP32,MCRFPAL2,MCRFPAR2,MCRFPLA2,MCRFPMS2,MCRFPNM2,MCRFPTX2,MCRFP3FM2,MCRFPP42,MCRFPCO2,M_EPC0_FPF_SID_MBBLD,MCRFPMT2,MCRFPUT2,MCRFPWY2,MCRFPP52,MCRFPAK2,MCRFPAKS2,MANFPAK2,MCRFPAZ2,MCRFPCA2,MCRFPNV2,MCRFP5F2,
Date,U.S. Field Production of Crude Oil (Thousand Barrels per Day),East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),Florida Field Production of Crude Oil (Thousand Barrels per Day),New York Field Production of Crude Oil (Thousand Barrels per Day),Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),Virginia Field Production of Crude Oil (Thousand Barrels per Day),West Virginia Field Production of Crude Oil (Thousand Barrels per Day),Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),Illinois Field Production of Crude Oil (Thousand Barrels per Day),Indiana Field Production of Crude Oil (Thousand Barrels per Day),Kansas Field Production of Crude Oil (Thousand Barrels per Day),Kentucky Field Production of Crude Oil (Thousand Barrels per Day),Michigan Field Production of Crude Oil (Thousand Barrels per Day),Missouri Field Production of Crude Oil (Thousand Barrels per Day),Nebraska Field Production of Crude Oil (Thousand Barrels per Day),North Dakota Field Production of Crude Oil (Thousand Barrels per Day),Ohio Field Production of Crude Oil (Thousand Barrels per Day),Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),South Dakota Field Production of Crude Oil (Thousand Barrels per Day),Tennessee Field Production of Crude Oil (Thousand Barrels per Day),Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),Alabama Field Production of Crude Oil (Thousand Barrels per Day),Arkansas Field Production of Crude Oil (Thousand Barrels per Day),Louisiana Field Production of Crude Oil (Thousand Barrels per Day),Mississippi Field Production of Crude Oil (Thousand Barrels per Day),New Mexico Field Production of Crude Oil (Thousand Barrels per Day),Texas Field Production of Crude Oil (Thousand Barrels per Day),Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),Colorado Field Production of Crude Oil (Thousand Barrels per Day),Idaho Field Production of Crude Oil (Thousand Barrels per Day),Montana Field Production of Crude Oil (Thousand Barrels per Day),Utah Field Production of Crude Oil (Thousand Barrels per Day),Wyoming Field Production of Crude Oil (Thousand Barrels per Day),West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),Alaska Field Production of Crude Oil (Thousand Barrels per Day),Alaska South Field Production of Crude Oil (Thousand Barrels per Day),Alaska North Slope Crude Oil Production (Thousand Barrels per Day),Arizona Field Production of Crude Oil (Thousand Barrels per Day),California Field Production of Crude Oil (Thousand Barrels per Day),Nevada Field Production of Crude Oil (Thousand Barrels per Day),Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),
Jan-1920,1097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-1920,1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-1920,1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-1920,1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-1920,1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-1920,1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-1920,1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-1920,1255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep-1920,1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
